"Dist Code","Year","State Code","State Name","Dist Name","Crop Name","Area (1000 ha)","Production (1000 tons)","Yield (Kg per ha)"
1,1972,14,"Chhattisgarh","Durg","Wheat",39.6,20.6,520.2
1,1973,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1973,14,"Chhattisgarh","Durg","Maize",2.9,2.7,931.03
1,1973,14,"Chhattisgarh","Durg","Rice",600.0,471.9,786.5
1,1973,14,"Chhattisgarh","Durg","Wheat",37.3,18.6,498.66
1,1974,14,"Chhattisgarh","Durg","Barley",0.2,0.1,500.0
1,1974,14,"Chhattisgarh","Durg","Maize",2.9,2.9,1000.0
1,1974,14,"Chhattisgarh","Durg","Rice",587.4,219.0,372.83
1,1974,14,"Chhattisgarh","Durg","Wheat",36.5,22.4,613.7
1,1975,14,"Chhattisgarh","Durg","Barley",0.2,0.2,1000.0
1,1975,14,"Chhattisgarh","Durg","Maize",2.9,2.9,1000.0
1,1975,14,"Chhattisgarh","Durg","Rice",598.3,454.0,758.82
1,1975,14,"Chhattisgarh","Durg","Wheat",49.2,27.8,565.04
1,1976,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1976,14,"Chhattisgarh","Durg","Maize",3.0,2.0,666.67
1,1976,14,"Chhattisgarh","Durg","Rice",593.6,327.1,551.04
1,1976,14,"Chhattisgarh","Durg","Wheat",46.9,10.0,213.22
1,1977,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1977,14,"Chhattisgarh","Durg","Maize",3.4,2.8,823.53
1,1977,14,"Chhattisgarh","Durg","Rice",600.7,572.4,952.89
1,1977,14,"Chhattisgarh","Durg","Wheat",53.1,27.1,510.36
1,1978,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1978,14,"Chhattisgarh","Durg","Maize",3.4,2.9,852.94
1,1978,14,"Chhattisgarh","Durg","Rice",612.5,362.2,591.35
1,1978,14,"Chhattisgarh","Durg","Wheat",48.7,25.6,525.67
1,1979,14,"Chhattisgarh","Durg","Barley",0.2,0.0,0.0
1,1979,14,"Chhattisgarh","Durg","Maize",3.0,3.6,1200.0
1,1979,14,"Chhattisgarh","Durg","Rice",616.8,330.6,535.99
1,1979,14,"Chhattisgarh","Durg","Wheat",44.6,17.8,399.1
1,1980,14,"Chhattisgarh","Durg","Barley",0.2,0.1,500.0
1,1980,14,"Chhattisgarh","Durg","Maize",3.0,2.8,933.33
1,1980,14,"Chhattisgarh","Durg","Rice",634.9,515.6,812.1
1,1980,14,"Chhattisgarh","Durg","Wheat",44.1,33.6,761.9
1,1981,14,"Chhattisgarh","Durg","Barley",0.2,0.1,500.0
1,1981,14,"Chhattisgarh","Durg","Maize",3.0,3.0,1000.0
1,1981,14,"Chhattisgarh","Durg","Rice",630.0,506.9,804.6
1,1981,14,"Chhattisgarh","Durg","Wheat",41.5,23.6,568.67
1,1982,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1982,14,"Chhattisgarh","Durg","Maize",3.0,3.1,1033.33
1,1982,14,"Chhattisgarh","Durg","Rice",627.9,513.3,817.49
1,1982,14,"Chhattisgarh","Durg","Wheat",41.1,23.9,581.51
1,1983,14,"Chhattisgarh","Durg","Barley",0.1,0.0,0.0
1,1983,14,"Chhattisgarh","Durg","Maize",3.0,3.7,1233.33
1,1983,14,"Chhattisgarh","Durg","Rice",626.7,711.0,1134.51
1,1983,14,"Chhattisgarh","Durg","Wheat",39.9,20.6,516.29
1,1984,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1984,14,"Chhattisgarh","Durg","Maize",3.6,4.1,1138.89
1,1984,14,"Chhattisgarh","Durg","Rice",632.2,563.8,891.81
1,1984,14,"Chhattisgarh","Durg","Wheat",40.5,19.9,491.36
1,1985,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1985,14,"Chhattisgarh","Durg","Maize",3.8,3.0,789.47
1,1985,14,"Chhattisgarh","Durg","Rice",630.8,699.8,1109.38
1,1985,14,"Chhattisgarh","Durg","Wheat",39.4,21.0,532.99
1,1986,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1986,14,"Chhattisgarh","Durg","Maize",4.0,3.0,750.0
1,1986,14,"Chhattisgarh","Durg","Rice",643.0,525.0,816.49
1,1986,14,"Chhattisgarh","Durg","Wheat",37.0,24.0,648.65
1,1987,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1987,14,"Chhattisgarh","Durg","Maize",4.0,3.0,750.0
1,1987,14,"Chhattisgarh","Durg","Rice",648.0,523.0,807.1
1,1987,14,"Chhattisgarh","Durg","Wheat",43.0,23.0,534.88
1,1988,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1988,14,"Chhattisgarh","Durg","Maize",3.8,4.0,1052.63
1,1988,14,"Chhattisgarh","Durg","Rice",652.7,549.7,842.19
1,1988,14,"Chhattisgarh","Durg","Wheat",43.7,20.2,462.24
1,1989,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1989,14,"Chhattisgarh","Durg","Maize",3.7,4.8,1297.3
1,1989,14,"Chhattisgarh","Durg","Rice",660.2,457.3,692.67
1,1989,14,"Chhattisgarh","Durg","Wheat",43.8,22.7,518.26
1,1990,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1990,14,"Chhattisgarh","Durg","Maize",4.0,3.8,950.0
1,1990,14,"Chhattisgarh","Durg","Rice",682.9,806.8,1181.43
1,1990,14,"Chhattisgarh","Durg","Wheat",36.2,24.8,685.08
1,1991,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1991,14,"Chhattisgarh","Durg","Maize",3.8,3.5,921.05
1,1991,14,"Chhattisgarh","Durg","Rice",680.8,773.6,1136.31
1,1991,14,"Chhattisgarh","Durg","Wheat",34.8,21.6,620.69
1,1992,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1992,14,"Chhattisgarh","Durg","Maize",4.4,6.0,1363.64
1,1992,14,"Chhattisgarh","Durg","Rice",688.0,777.3,1129.8
1,1992,14,"Chhattisgarh","Durg","Wheat",56.1,20.5,365.42
1,1993,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1993,14,"Chhattisgarh","Durg","Maize",3.8,4.2,1105.26
1,1993,14,"Chhattisgarh","Durg","Rice",703.6,876.7,1246.02
1,1993,14,"Chhattisgarh","Durg","Wheat",33.8,23.8,704.14
1,1994,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1994,14,"Chhattisgarh","Durg","Maize",4.8,4.3,895.83
1,1994,14,"Chhattisgarh","Durg","Rice",726.8,967.9,1331.73
1,1994,14,"Chhattisgarh","Durg","Wheat",36.5,29.4,805.48
1,1995,14,"Chhattisgarh","Durg","Barley",0.1,0.1,1000.0
1,1995,14,"Chhattisgarh","Durg","Maize",4.2,5.6,1333.33
1,1995,14,"Chhattisgarh","Durg","Rice",723.3,1052.0,1454.44
1,1995,14,"Chhattisgarh","Durg","Wheat",37.1,26.5,714.29
1,1996,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1996,14,"Chhattisgarh","Durg","Maize",3.2,4.1,1281.25
1,1996,14,"Chhattisgarh","Durg","Rice",710.9,917.2,1290.2
1,1996,14,"Chhattisgarh","Durg","Wheat",36.2,29.1,803.87
1,1997,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1997,14,"Chhattisgarh","Durg","Maize",3.5,3.2,914.29
1,1997,14,"Chhattisgarh","Durg","Rice",735.7,837.5,1138.37
1,1997,14,"Chhattisgarh","Durg","Wheat",35.6,18.3,514.04
1,1998,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1998,14,"Chhattisgarh","Durg","Maize",5.61,5.68,1012.65
1,1998,14,"Chhattisgarh","Durg","Rice",786.51,684.62,870.45
1,1998,14,"Chhattisgarh","Durg","Wheat",39.96,24.84,621.62
1,1999,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,1999,14,"Chhattisgarh","Durg","Maize",3.81,4.98,1307.44
1,1999,14,"Chhattisgarh","Durg","Rice",769.79,963.04,1251.04
1,1999,14,"Chhattisgarh","Durg","Wheat",0.0,0.0,0.0
1,2000,14,"Chhattisgarh","Durg","Barley",0.01,0.0,0.0
1,2000,14,"Chhattisgarh","Durg","Maize",3.94,3.12,792.52
1,2000,14,"Chhattisgarh","Durg","Rice",748.76,467.89,624.89
1,2000,14,"Chhattisgarh","Durg","Wheat",29.9,17.59,588.19
1,2001,14,"Chhattisgarh","Durg","Barley",0.01,0.01,1000.0
1,2001,14,"Chhattisgarh","Durg","Maize",3.9,2.62,672.21
1,2001,14,"Chhattisgarh","Durg","Rice",756.26,978.69,1294.13
1,2001,14,"Chhattisgarh","Durg","Wheat",34.33,24.11,702.43
1,2002,14,"Chhattisgarh","Durg","Barley",0.01,0.01,1000.0
1,2002,14,"Chhattisgarh","Durg","Maize",3.71,4.76,1284.3
1,2002,14,"Chhattisgarh","Durg","Rice",753.41,484.9,643.6
1,2002,14,"Chhattisgarh","Durg","Wheat",33.25,25.09,754.44
1,2003,14,"Chhattisgarh","Durg","Barley",0.03,0.02,667.0
1,2003,14,"Chhattisgarh","Durg","Maize",3.4,3.35,983.49
1,2003,14,"Chhattisgarh","Durg","Rice",766.58,1145.82,1494.73
1,2003,14,"Chhattisgarh","Durg","Wheat",37.99,29.58,778.78
1,2004,14,"Chhattisgarh","Durg","Barley",0.01,0.01,1000.0
1,2004,14,"Chhattisgarh","Durg","Maize",3.26,3.87,1186.04
1,2004,14,"Chhattisgarh","Durg","Rice",775.99,984.31,1268.46
1,2004,14,"Chhattisgarh","Durg","Wheat",36.43,23.19,636.48
1,2005,14,"Chhattisgarh","Durg","Barley",0.01,0.01,1000.0
1,2005,14,"Chhattisgarh","Durg","Maize",3.26,3.87,1186.04
1,2005,14,"Chhattisgarh","Durg","Rice",775.99,984.31,1268.46
1,2005,14,"Chhattisgarh","Durg","Wheat",36.43,23.19,636.48
1,2006,14,"Chhattisgarh","Durg","Barley",0.0,0.0,0.0
1,2006,14,"Chhattisgarh","Durg","Maize",5.28,5.03,953.14
1,2006,14,"Chhattisgarh","Durg","Rice",781.7,1177.1,1505.81
1,2006,14,"Chhattisgarh","Durg","Wheat",36.81,26.62,723.16
1,2007,14,"Chhattisgarh","Durg","Barley",0.06,0.07,1167.0
1,2007,14,"Chhattisgarh","Durg","Maize",3.3,3.82,1157.23
1,2007,14,"Chhattisgarh","Durg","Rice",799.89,1095.84,1369.98
1,2007,14,"Chhattisgarh","Durg","Wheat",37.32,34.38,921.03
1,2008,14,"Chhattisgarh","Durg","Barley",0.06,0.06,1000.0
1,2008,14,"Chhattisgarh","Durg","Maize",3.4,3.35,984.92
1,2008,14,"Chhattisgarh","Durg","Rice",803.37,704.09,876.42
1,2008,14,"Chhattisgarh","Durg","Wheat",36.46,31.19,855.47
1,2009,14,"Chhattisgarh","Durg","Barley",0.06,0.01,167.0
1,2009,14,"Chhattisgarh","Durg","Maize",3.25,3.4,1045.97
1,2009,14,"Chhattisgarh","Durg","Rice",789.04,622.05,788.37
1,2009,14,"Chhattisgarh","Durg","Wheat",42.44,38.12,898.09
1,2010,14,"Chhattisgarh","Durg","Barley",0.09,0.07,778.0
1,2010,14,"Chhattisgarh","Durg","Maize",3.17,4.63,1457.32
1,2010,14,"Chhattisgarh","Durg","Rice",777.92,1319.18,1695.77
1,2010,14,"Chhattisgarh","Durg","Wheat",46.12,45.87,994.69
1,2011,14,"Chhattisgarh","Durg","Barley",0.15,0.17,1133.0
1,2011,14,"Chhattisgarh","Durg","Maize",3.63,4.67,1285.56
1,2011,14,"Chhattisgarh","Durg","Rice",806.55,1416.48,1756.23
1,2011,14,"Chhattisgarh","Durg","Wheat",44.98,50.19,1115.68
1,2012,14,"Chhattisgarh","Durg","Barley",0.19,0.11,579.0
1,2012,14,"Chhattisgarh","Durg","Maize",3.12,4.8,1538.56
1,2012,14,"Chhattisgarh","Durg","Rice",807.07,1534.22,1900.97
1,2012,14,"Chhattisgarh","Durg","Wheat",43.87,47.69,1087.1
1,2013,14,"Chhattisgarh","Durg","Barley",0.22,0.12,545.0
1,2013,14,"Chhattisgarh","Durg","Maize",3.64,6.34,1742.2
1,2013,14,"Chhattisgarh","Durg","Rice",819.44,1296.24,1581.86
1,2013,14,"Chhattisgarh","Durg","Wheat",41.54,43.33,1043.06
1,2014,14,"Chhattisgarh","Durg","Barley",0.14,0.11,786.0
1,2014,14,"Chhattisgarh","Durg","Maize",4.02,5.84,1451.66
1,2014,14,"Chhattisgarh","Durg","Rice",834.87,1444.24,1729.89
1,2014,14,"Chhattisgarh","Durg","Wheat",44.25,50.96,1151.49
1,2015,14,"Chhattisgarh","Durg","Barley",0.04,0.03,750.0
1,2015,14,"Chhattisgarh","Durg","Maize",9.87,14.47,1467.17
1,2015,14,"Chhattisgarh","Durg","Rice",817.68,880.6,1076.95
1,2015,14,"Chhattisgarh","Durg","Wheat",48.72,54.6,1120.74
1,2016,14,"Chhattisgarh","Durg","Barley",0.01,0.01,1333.0
1,2016,14,"Chhattisgarh","Durg","Maize",7.95,16.12,2028.48
1,2016,14,"Chhattisgarh","Durg","Rice",858.91,1791.66,2085.96
1,2016,14,"Chhattisgarh","Durg","Wheat",48.94,61.84,1263.55
1,2017,14,"Chhattisgarh","Durg","Barley",0.0,0.0,1000.0
1,2017,14,"Chhattisgarh","Durg","Maize",9.25,18.09,1956.03
1,2017,14,"Chhattisgarh","Durg","Rice",841.13,983.21,1168.92
1,2017,14,"Chhattisgarh","Durg","Wheat",43.5,50.19,1153.77
2,1966,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1966,14,"Chhattisgarh","Bastar","Maize",23.0,31.0,1347.83
2,1966,14,"Chhattisgarh","Bastar","Rice",406.0,261.0,642.86
2,1966,14,"Chhattisgarh","Bastar","Wheat",2.0,1.0,500.0
2,1967,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1967,14,"Chhattisgarh","Bastar","Maize",24.0,34.0,1416.67
2,1967,14,"Chhattisgarh","Bastar","Rice",414.0,319.0,770.53
2,1967,14,"Chhattisgarh","Bastar","Wheat",2.0,1.0,500.0
2,1968,14,"Chhattisgarh","Bastar","Barley",0.0,0.2,0.0
2,1968,14,"Chhattisgarh","Bastar","Maize",24.7,24.0,971.66
2,1968,14,"Chhattisgarh","Bastar","Rice",423.2,294.0,694.71
2,1968,14,"Chhattisgarh","Bastar","Wheat",2.3,1.0,434.78
2,1969,14,"Chhattisgarh","Bastar","Barley",0.0,0.2,0.0
2,1969,14,"Chhattisgarh","Bastar","Maize",25.1,25.0,996.02
2,1969,14,"Chhattisgarh","Bastar","Rice",429.1,329.0,766.72
2,1969,14,"Chhattisgarh","Bastar","Wheat",2.3,1.5,652.17
2,1970,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1970,14,"Chhattisgarh","Bastar","Maize",25.4,36.1,1421.26
2,1970,14,"Chhattisgarh","Bastar","Rice",437.7,316.8,723.78
2,1970,14,"Chhattisgarh","Bastar","Wheat",2.4,1.9,791.67
2,1971,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1971,14,"Chhattisgarh","Bastar","Maize",26.8,35.1,1309.7
2,1971,14,"Chhattisgarh","Bastar","Rice",445.6,366.6,822.71
2,1971,14,"Chhattisgarh","Bastar","Wheat",2.5,1.5,600.0
2,1972,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1972,14,"Chhattisgarh","Bastar","Maize",26.8,37.1,1384.33
2,1972,14,"Chhattisgarh","Bastar","Rice",443.1,285.8,645.0
2,1972,14,"Chhattisgarh","Bastar","Wheat",2.7,1.7,629.63
2,1973,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1973,14,"Chhattisgarh","Bastar","Maize",27.4,39.4,1437.96
2,1973,14,"Chhattisgarh","Bastar","Rice",450.5,364.3,808.66
2,1973,14,"Chhattisgarh","Bastar","Wheat",2.6,1.9,730.77
2,1974,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1974,14,"Chhattisgarh","Bastar","Maize",28.2,34.6,1226.95
2,1974,14,"Chhattisgarh","Bastar","Rice",451.6,302.9,670.73
2,1974,14,"Chhattisgarh","Bastar","Wheat",2.4,2.0,833.33
2,1975,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1975,14,"Chhattisgarh","Bastar","Maize",29.4,34.8,1183.67
2,1975,14,"Chhattisgarh","Bastar","Rice",458.3,407.9,890.03
2,1975,14,"Chhattisgarh","Bastar","Wheat",3.7,2.9,783.78
2,1976,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1976,14,"Chhattisgarh","Bastar","Maize",28.7,32.6,1135.89
2,1976,14,"Chhattisgarh","Bastar","Rice",459.6,296.1,644.26
2,1976,14,"Chhattisgarh","Bastar","Wheat",3.3,2.2,666.67
2,1977,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1977,14,"Chhattisgarh","Bastar","Maize",29.3,29.2,996.59
2,1977,14,"Chhattisgarh","Bastar","Rice",473.4,430.4,909.17
2,1977,14,"Chhattisgarh","Bastar","Wheat",3.3,2.6,787.88
2,1978,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1978,14,"Chhattisgarh","Bastar","Maize",27.6,30.2,1094.2
2,1978,14,"Chhattisgarh","Bastar","Rice",490.4,402.2,820.15
2,1978,14,"Chhattisgarh","Bastar","Wheat",3.0,2.8,933.33
2,1979,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1979,14,"Chhattisgarh","Bastar","Maize",27.0,39.4,1459.26
2,1979,14,"Chhattisgarh","Bastar","Rice",497.5,309.2,621.51
2,1979,14,"Chhattisgarh","Bastar","Wheat",3.0,2.4,800.0
2,1980,14,"Chhattisgarh","Bastar","Barley",0.0,0.1,0.0
2,1980,14,"Chhattisgarh","Bastar","Maize",28.0,30.3,1082.14
2,1980,14,"Chhattisgarh","Bastar","Rice",519.4,391.8,754.33
2,1980,14,"Chhattisgarh","Bastar","Wheat",2.9,3.1,1068.97
2,1981,14,"Chhattisgarh","Bastar","Barley",0.1,0.1,1000.0
2,1981,14,"Chhattisgarh","Bastar","Maize",27.0,29.4,1088.89
2,1981,14,"Chhattisgarh","Bastar","Rice",523.5,389.3,743.65
2,1981,14,"Chhattisgarh","Bastar","Wheat",3.0,3.3,1100.0
2,1982,14,"Chhattisgarh","Bastar","Barley",0.1,0.1,1000.0
2,1982,14,"Chhattisgarh","Bastar","Maize",28.0,36.7,1310.71
2,1982,14,"Chhattisgarh","Bastar","Rice",527.7,372.4,705.7
2,1982,14,"Chhattisgarh","Bastar","Wheat",3.2,3.9,1218.75
2,1983,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1983,14,"Chhattisgarh","Bastar","Maize",29.0,39.0,1344.83
2,1983,14,"Chhattisgarh","Bastar","Rice",538.0,408.0,758.36
2,1983,14,"Chhattisgarh","Bastar","Wheat",2.9,2.7,931.03
2,1984,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1984,14,"Chhattisgarh","Bastar","Maize",28.8,42.8,1486.11
2,1984,14,"Chhattisgarh","Bastar","Rice",533.4,395.6,741.66
2,1984,14,"Chhattisgarh","Bastar","Wheat",2.8,3.0,1071.43
2,1985,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1985,14,"Chhattisgarh","Bastar","Maize",28.7,32.4,1128.92
2,1985,14,"Chhattisgarh","Bastar","Rice",555.4,834.3,1502.16
2,1985,14,"Chhattisgarh","Bastar","Wheat",2.6,2.6,1000.0
2,1986,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1986,14,"Chhattisgarh","Bastar","Maize",28.0,34.0,1214.29
2,1986,14,"Chhattisgarh","Bastar","Rice",556.0,403.0,724.82
2,1986,14,"Chhattisgarh","Bastar","Wheat",3.0,3.0,1000.0
2,1987,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1987,14,"Chhattisgarh","Bastar","Maize",28.0,34.0,1214.29
2,1987,14,"Chhattisgarh","Bastar","Rice",555.0,382.0,688.29
2,1987,14,"Chhattisgarh","Bastar","Wheat",3.0,2.0,666.67
2,1988,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1988,14,"Chhattisgarh","Bastar","Maize",28.6,40.9,1430.07
2,1988,14,"Chhattisgarh","Bastar","Rice",572.8,553.2,965.78
2,1988,14,"Chhattisgarh","Bastar","Wheat",2.8,3.0,1071.43
2,1989,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1989,14,"Chhattisgarh","Bastar","Maize",28.4,54.7,1926.06
2,1989,14,"Chhattisgarh","Bastar","Rice",571.7,544.7,952.77
2,1989,14,"Chhattisgarh","Bastar","Wheat",2.6,2.7,1038.46
2,1990,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1990,14,"Chhattisgarh","Bastar","Maize",27.5,40.6,1476.36
2,1990,14,"Chhattisgarh","Bastar","Rice",579.0,561.9,970.47
2,1990,14,"Chhattisgarh","Bastar","Wheat",2.0,2.4,1200.0
2,1991,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1991,14,"Chhattisgarh","Bastar","Maize",27.5,40.8,1483.64
2,1991,14,"Chhattisgarh","Bastar","Rice",582.3,624.3,1072.13
2,1991,14,"Chhattisgarh","Bastar","Wheat",2.2,3.0,1363.64
2,1992,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1992,14,"Chhattisgarh","Bastar","Maize",27.5,46.3,1683.64
2,1992,14,"Chhattisgarh","Bastar","Rice",584.4,533.3,912.56
2,1992,14,"Chhattisgarh","Bastar","Wheat",1.6,2.0,1250.0
2,1993,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1993,14,"Chhattisgarh","Bastar","Maize",27.2,43.9,1613.97
2,1993,14,"Chhattisgarh","Bastar","Rice",605.3,603.7,997.36
2,1993,14,"Chhattisgarh","Bastar","Wheat",1.8,2.6,1444.44
2,1994,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1994,14,"Chhattisgarh","Bastar","Maize",25.5,32.2,1262.75
2,1994,14,"Chhattisgarh","Bastar","Rice",609.9,604.0,990.33
2,1994,14,"Chhattisgarh","Bastar","Wheat",1.6,2.4,1500.0
2,1995,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1995,14,"Chhattisgarh","Bastar","Maize",24.7,41.6,1684.21
2,1995,14,"Chhattisgarh","Bastar","Rice",619.0,589.1,951.7
2,1995,14,"Chhattisgarh","Bastar","Wheat",1.6,2.5,1562.5
2,1996,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1996,14,"Chhattisgarh","Bastar","Maize",24.4,38.7,1586.07
2,1996,14,"Chhattisgarh","Bastar","Rice",644.1,670.5,1040.99
2,1996,14,"Chhattisgarh","Bastar","Wheat",2.0,3.3,1650.0
2,1997,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1997,14,"Chhattisgarh","Bastar","Maize",24.5,34.1,1391.84
2,1997,14,"Chhattisgarh","Bastar","Rice",622.8,455.0,730.57
2,1997,14,"Chhattisgarh","Bastar","Wheat",1.4,2.2,1571.43
2,1998,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1998,14,"Chhattisgarh","Bastar","Maize",37.1,56.8,1531.0
2,1998,14,"Chhattisgarh","Bastar","Rice",627.1,569.8,908.63
2,1998,14,"Chhattisgarh","Bastar","Wheat",2.4,3.8,1583.33
2,1999,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,1999,14,"Chhattisgarh","Bastar","Maize",25.0,46.6,1864.0
2,1999,14,"Chhattisgarh","Bastar","Rice",628.47,676.2,1075.95
2,1999,14,"Chhattisgarh","Bastar","Wheat",0.0,0.0,0.0
2,2000,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,2000,14,"Chhattisgarh","Bastar","Maize",24.71,38.35,1552.0
2,2000,14,"Chhattisgarh","Bastar","Rice",628.03,523.9,834.2
2,2000,14,"Chhattisgarh","Bastar","Wheat",1.7,2.75,1617.65
2,2001,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,2001,14,"Chhattisgarh","Bastar","Maize",25.06,23.68,944.93
2,2001,14,"Chhattisgarh","Bastar","Rice",633.99,922.15,1454.52
2,2001,14,"Chhattisgarh","Bastar","Wheat",2.5,3.88,1552.0
2,2002,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,2002,14,"Chhattisgarh","Bastar","Maize",25.26,35.99,1424.78
2,2002,14,"Chhattisgarh","Bastar","Rice",623.9,331.38,531.14
2,2002,14,"Chhattisgarh","Bastar","Wheat",2.09,3.76,1799.04
2,2003,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,2003,14,"Chhattisgarh","Bastar","Maize",29.48,45.98,1559.7
2,2003,14,"Chhattisgarh","Bastar","Rice",632.58,1042.75,1648.41
2,2003,14,"Chhattisgarh","Bastar","Wheat",2.42,3.83,1582.64
2,2004,14,"Chhattisgarh","Bastar","Barley",0.0,0.0,0.0
2,2004,14,"Chhattisgarh","Bastar","Maize",30.19,49.74,1647.57
2,2004,14,"Chhattisgarh","Bastar","Rice",635.47,788.65,1241.05
